OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength
43,15090,WEXFORD,NON-UNIQUE,PA,42,42003,ALLEGHENY,150,40.62165889,-80.06218593, ,7978,685,7121,172,1154,1.9.3,11,{C81CA318-F864-4630-BA80-8B5177880A70},625403031.303162,212160.157109195
3732,15207,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.398646,-79.933936, ,5309,344,4885,80,221,1.9.3,5,{1224E878-50CE-407F-B26C-8C0345828818},130993035.026245,111510.8489509
864,16046,MARS,NON-UNIQUE,PA,42,42019,BUTLER,160,40.69775333,-80.02885615, ,5311,0,4517,794,479,1.9.3,13,{DEF761E6-B53C-4EC7-A893-8E6ED408689C},107355045.051758,102482.647869157
300,15136,MC KEES ROCKS,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.46625436,-80.1052967, ,9910,678,9056,176,759,1.9.3,15,{66C84F75-7F80-4D27-BA99-8F5879211BE1},305241546.694458,128080.316158873
69,15147,VERONA,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4968904,-79.82986158, ,8048,830,7137,81,386,1.9.3,5,{A4DA6611-B8F5-46E8-9960-8FBD142EBAFC},282976748.586304,130079.146174238
181,15101,ALLISON PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.58764373,-79.94259225, ,9780,960,8748,72,607,1.9.3,7,{2854ADFF-24F0-4203-9F37-9151CF1F48DE},568217517.585083,201359.382401033
243,15229,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.517189,-80.030806, ,6411,665,5672,74,312,1.9.3,5,{65541C6E-E28D-4150-B563-93F955826F42},112881227.7323,87913.9343540729
307,15102,BETHEL PARK,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.32221149,-80.03642213, ,12769,1668,10948,153,861,1.9.3,6,{2EB816EA-46E9-4C7B-886A-99FA183C4EC3},294768775.09259,94100.1055486353
591,15221,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43174313,-79.86487858, ,16040,3486,12256,298,826,1.9.3,11,{F2103F22-0665-4BA1-B7D8-9BD97F00CD1F},165167385.639954,92197.7609012082
287,15237,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.54828572,-80.05271256, ,18376,2952,15125,299,1880,1.9.3,12,{4B1C99A3-857A-4BCB-A79B-9E02F30DF27D},667132696.263306,233015.888692268
