incident_zip
15212
NA
15132
15204
15239
15235
15213
15147
15219
15218
15116
15136
15202
15224
15135
15120
15207
15106
15021
15216
15137
15211
15044
15201
15131
15065
15126
15236
15101
15102
15226
15045
15221
15148
15025
15210
15108
15223
15227
15037
15084
15208
15232
15205
15068
15140
15206
15220
15209
15146
15214
15071
15122
5144
15237
15104
15228
15145
15064
15024
15215
15203
15241
15229
15217
15222
15017
15049
15034
15144
15112
15234
15110
16137
15690
15083
15238
16403
15090
15001
15315
15085
15231
15613
15243
15129
15139
15143
43920
15026
15282
15007
15332
15057
15035
15018
15142
15233
15003
16229
16146
15133
15225
15005
15047
16059
16055
15301
15014
15124
15020
15046
15022
15031
26301
15275
15336
15066
15668
15642
15081
15240
15401
15041
15636
15051
15612
15056
26062
16101
16362
15436
16117
15632
15924
15367
15086
15058
15076
15618
15010
16066
15290
15030
15063
15006
16201
16049
15666
16046
15701
15012
1`513
15038
